years,model1,model2,model3,model4,model5,model6,model7,model8,model9,model10,model11,model12,model13,model14,model15,model16
1884,1152.295615,883.7776957,1318.553684,758.2820015,1356.766209,1363.264495,1018.792009,837.739708,1065.926591,1602.54938,319.131861,2045.547845,1590.706672,1492.668203,1076.612732,809.1689791
1885,1009.141197,944.9690771,1181.751381,829.073809,1478.578458,1084.919315,1051.507099,792.8200066,1005.027702,1447.318292,462.8255007,1963.053483,1400.924692,1428.084587,876.2523841,863.1892606
1886,1134.628649,809.9700406,1134.290552,718.2522129,1894.865028,1244.142251,901.9068345,581.2708284,989.8752978,1360.475788,347.6083993,1907.475911,1413.37595,1310.553191,494.6465378,904.2790832
1887,1330.970914,859.6569402,1167.658183,745.7357478,1593.863824,1377.03994,932.2612883,438.7107744,1211.945071,1283.146236,510.0505197,2094.814899,1657.532603,1394.280294,1043.999873,938.2151411
1888,1500.553214,911.9426673,931.9115371,645.8744258,1950.384084,1367.317312,823.5471203,930.1508698,1117.460407,1191.717349,377.1400212,2110.886878,1559.197914,1281.426901,960.5435281,1075.941799
1889,1487.208805,949.2568083,1272.407155,772.9155374,1404.422351,1297.110098,1017.645129,919.9412217,1128.526297,1460.347592,292.5029109,1701.239178,1302.242935,1432.872258,1287.64692,1001.205216
1890,1099.527791,829.601407,1181.543401,791.6330843,1657.991454,1342.469176,1063.957223,974.1104197,1013.318135,1262.840087,290.0848575,1799.63293,1451.654466,1136.288803,858.6721231,852.089783
1891,1198.16016,731.9077227,1075.725226,666.0580944,1412.897292,1183.34909,1003.615797,756.1694228,1026.071052,1378.769967,332.0256265,1968.645918,1448.300614,1211.76557,668.6620241,663.0121577
1892,1925.187012,792.6982614,1438.297242,965.2402387,1832.74187,1353.775156,1162.862142,397.0488393,1217.096174,1299.175048,238.1004466,1629.229422,1502.639865,1316.417307,928.945539,771.7071836
1893,1350.007335,963.9855313,1347.834831,794.7962734,1602.955962,1328.763554,831.0728762,619.5105795,1344.356888,1202.557544,228.0610168,1908.202235,1538.814869,1096.056603,1200.133306,621.3717244
1894,1070.560225,872.0063036,1026.1168,561.5416943,1875.342878,1269.516863,1205.62562,1019.51594,1382.834207,1083.156286,312.1765656,1953.121143,1369.885177,864.8645834,970.1235026,702.5349567
1895,1137.009332,896.4124061,1266.421089,602.8949916,2008.938198,1249.655454,917.1463843,621.095275,1204.824147,1508.38979,232.0114597,1402.826382,1587.663966,1037.39418,989.3662592,663.0839321
1896,1182.833879,863.1284028,1064.650299,676.5021658,2057.82219,1130.097044,859.2907141,695.5128804,1211.347815,1149.445535,246.8015241,1838.128395,1562.609775,1666.229074,1040.445548,844.6499229
1897,1303.049192,881.1662946,1245.623157,815.3564793,1754.093113,1284.957215,1006.372978,677.2153378,1088.709812,1488.061355,396.239845,1770.561806,1494.062953,1281.458327,964.5935177,711.0648872
1898,1051.204673,1031.358912,1768.502734,817.2367847,1686.626363,1280.466095,985.7074127,759.7315594,1055.213097,1263.404531,401.3724678,1807.173342,1415.110796,1147.738865,1174.90539,980.3177637
1899,1384.02278,634.8641857,1291.871454,723.3729577,1909.969556,1503.61931,1005.050442,431.4303975,1261.732143,1275.155526,431.3175766,2374.483295,1622.140578,1600.756542,1138.311519,851.4183064
1900,1220.064358,755.3690365,1447.331367,924.2665321,1788.697573,1500.836775,1007.576217,421.2878473,1039.443289,1219.531975,323.5749067,1570.888052,1579.648838,1324.64529,1228.938446,621.2707731
1901,1504.04273,689.2500063,1087.419273,615.197443,1856.700809,1540.952654,935.2975824,521.2291643,1062.919298,1283.366811,393.6553016,1780.67297,1642.879184,1043.563785,1066.829648,557.2292489
1902,1192.015161,685.8591208,1499.970763,805.3753831,1619.443289,1398.139061,911.9111354,628.5940173,1117.13137,1404.909095,346.909598,1819.375482,1520.072235,1116.635454,1088.641038,846.3511578
1903,1015.940651,1004.606849,1150.139175,762.5547396,1615.751667,1252.506677,849.0848588,687.2145325,1226.762697,1615.634203,488.7265456,1927.406357,1687.020746,1547.628362,873.72887,1099.144043
1904,1728.012279,836.4883107,1286.292509,759.7453471,1470.652786,1256.814268,740.3178907,481.9412995,857.7297768,1195.299956,643.5178985,1911.298674,1618.128784,1523.650767,971.1003084,598.5846963
