years,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1889,1.247468408,1.130831555,0.053740191,0.189635973,-1.083275072,0.012711038,0.362196464,0.815283001,0.015835962,1.090379825,-0.841162627,-0.898515038,-1.745916181,0.85153812,0.870819726,1.00779294
1890,-0.650304191,-0.023664853,-0.479970506,0.374301742,-0.101301936,0.371031961,0.730887195,1.077092733,-1.035191288,-0.019621422,-0.86685354,-0.427388434,-0.44974219,-0.556037299,-1.17212662,0.077487756
1891,-0.167479912,-0.966263401,-1.101519683,-0.864610714,-1.050454966,-0.885961298,0.250508903,0.023743669,-0.918848286,0.631909825,-0.421248553,0.3818755,-0.478837501,-0.197827019,-2.077029286,-1.102134576
1892,3.391455371,-0.379725244,1.028136573,2.087095558,0.575437514,0.46034526,1.518269579,-1.711952393,0.82384602,0.184582726,-1.419168467,-1.243310425,-0.00743397,0.298846717,-0.837457033,-0.424005263
1893,0.575841011,1.272941795,0.496783269,0.405509504,-0.31443269,0.262762319,-1.123105857,-0.636753743,1.984826943,-0.35841208,-1.525833654,0.092460505,0.306391204,-0.746978009,0.454045548,-1.361921977
1894,-0.792105957,0.385479242,-1.392907019,-1.895760866,0.740414416,-0.205265906,1.858709771,1.296545992,2.335849906,-1.029452635,-0.632137402,0.307540143,-1.159106618,-1.844207804,-0.641351409,-0.855558724
1895,-0.466824891,0.62096178,0.018579554,-1.487772658,1.257776406,-0.362164116,-0.437874374,-0.629094618,0.711890107,1.360379184,-1.483861676,-2.327368028,0.730166591,-1.02538796,-0.54970985,-1.101686788
1896,-0.242504984,0.299820722,-1.166570999,-0.76157037,1.447084828,-1.306633917,-0.898463556,-0.269420596,0.771404577,-0.656904014,-1.326722772,-0.243065375,0.512816628,1.959041966,-0.306450231,0.031071767
1897,0.345971932,0.473859512,-0.103582238,0.608354794,0.270861894,-0.083292503,0.272458828,-0.357855996,-0.347404021,1.246132442,0.261003506,-0.566586093,-0.081840346,0.132932532,-0.667687368,-0.802341976
1898,-0.886855082,1.922994575,2.96768006,0.626905731,0.009589775,-0.118770787,0.107940199,0.040960133,-0.652989668,-0.016449219,0.315535705,-0.391283614,-0.766765613,-0.501695676,0.333900307,0.877479767
1899,0.742353111,-1.902588996,0.168068555,-0.299147017,0.874509883,1.644061886,0.261930122,-1.545779977,1.231053452,0.049591911,0.633691288,2.325096287,1.029257882,1.648311462,0.159625936,0.073298531
1900,-0.060254678,-0.739896667,1.081200741,1.68285236,0.404871321,1.622080833,0.282037822,-1.594800794,-0.796855321,-0.263015001,-0.511034291,-1.522659171,0.660633803,0.337896453,0.59122693,-1.362551795
1901,1.329873683,-1.37784683,-1.032831807,-1.366397691,0.668221035,1.938982304,-0.293372626,-1.111765963,-0.582687121,0.095739706,0.2335437,-0.518172063,1.209169309,-0.996107216,-0.180798791,-1.762095696
1902,-0.197560854,-1.410563824,1.390391228,0.509882124,-0.250583774,0.81080466,-0.479552209,-0.592851812,-0.088118295,0.778812928,-0.263111921,-0.332857623,0.143795218,-0.649311454,-0.076924393,0.041685474
1903,-1.059479206,1.664877006,-0.664430977,0.0874172,-0.264879971,-0.339640449,-0.979712403,-0.309528042,0.9120323,1.963097705,1.243640117,0.184413223,1.592105918,1.396166849,-1.100420482,1.618816203
1904,2.426247401,0.042783511,0.135299247,0.059699966,-0.826790713,-0.305611985,-1.845606595,-1.301651465,-2.454601174,-0.399200062,2.888240358,0.107286799,0.994454795,1.282369965,-0.636699477,-1.504086272
1905,-1.211065776,0.731550574,-0.722601957,0.326018997,-0.999639998,0.186164234,1.147817629,0.334160867,2.836953828,0.667244441,1.436818353,0.814376939,0.328445348,-0.595248379,-0.233041256,-0.894690189
1906,0.930597476,-1.736479412,-0.367572327,1.025428638,2.112640533,-0.508362215,-1.455731959,-1.373916266,-0.479491548,-1.269597077,-0.362510188,-0.268315484,0.117139051,-0.292337391,-0.986674929,-1.823752324
1907,0.319913653,-0.554787273,-0.072868939,-1.775710938,0.476816626,-1.734276501,0.669031323,-0.609852573,0.398451042,-1.460612917,-0.690648851,0.06080431,-3.307802723,0.631639638,0.149369268,-0.264271472
1908,0.152896984,0.680480712,2.039457871,-0.197338169,-1.229149318,-0.870335715,1.424807897,3.374896657,0.36470603,0.688221461,-0.128516766,-3.02545164,0.706742706,-0.423543984,-0.32446376,-0.327599472
1909,1.225094313,-0.383593088,0.066477419,1.608733795,-1.220277629,-0.098775533,0.156517864,0.544705336,-0.207749213,0.69490533,-0.257127624,0.061822513,2.008391485,0.697027053,-0.625109914,-0.291095997
1910,-0.054640339,-0.018410499,-0.124194811,-0.706450763,-0.622295674,-0.46863289,-0.109926539,0.022862571,-0.926994463,1.560732234,0.096147246,0.3365359,-0.389923091,-0.273243378,0.221383939,1.401010101
1911,-0.812573135,-1.991369871,-1.08464213,0.241085971,2.020036731,-0.353423831,0.358413455,0.018042502,0.437032011,-0.778416318,0.138090483,0.36818669,-0.302952373,0.265819564,0.739745545,-0.190151023
1912,-2.178407633,0.202438626,0.246686468,-0.335277575,0.624768091,-0.29256007,1.832828665,1.534288427,0.063555537,-0.019999568,-0.499446536,0.621312269,-0.347301032,2.013537571,-0.332538468,-0.769861616
1913,1.196085144,-0.720930152,1.360697106,0.380241231,-1.537137312,-0.88492173,0.166385713,0.353943585,-0.257128141,-0.622093493,-1.050886057,0.258238238,1.164187748,-1.519417449,-1.986107722,0.351279654
1914,-1.445663626,0.951310689,-0.85532484,-0.871894174,-1.924650884,-0.985927669,1.339321228,2.281316822,-0.059111651,0.932453685,-0.341575143,-0.638035948,0.878427192,1.105288381,0.640162389,0.665358124
1915,-2.542144843,0.225042015,0.570328287,0.853890593,-2.172919279,1.375189408,-0.117884354,-0.737609787,-1.449392966,1.041856289,-0.351643618,-0.006693279,0.707152343,-0.724352412,2.328870986,0.916940811
1916,-0.741417319,-0.79864842,0.975224211,0.459878097,0.202157213,1.009298623,-1.899989312,-0.064293286,0.462480457,1.401602505,1.455986064,-0.292094401,-0.172435361,0.616578637,1.352760371,1.465219003
