years,model1,model2,model3,model4,model5,model6,model7,model8,model9,model10,model11,model12,model13,model14,model15,model16
1871,485.8735567846452,272.5909097063095,1014.8411712021698,566.5974752302177,141.4546889464873,859.5818470677841,387.53291934526715,204.12070416430197,517.8662272479414,798.4794299267378,458.51250150008127,1375.317715597339,1359.8633452289505,1206.9356459687697,2062.8364244126715,446.38428595139885
1872,276.49650962121086,401.6054715573091,1142.1796390030067,587.7704950064071,163.25551382897174,914.1472787653584,268.7593144027687,479.94277559737384,786.230919490481,602.0783950616533,500.34885200002464,1560.2297968725907,1123.6647077628731,1106.2862690527254,1990.0535551656503,458.4822020251522
1873,345.6787993227408,672.9430957326456,989.6110865607625,554.5239324121212,150.1227044103871,839.3435698755638,417.61112874671653,293.0197838998538,771.9791045878083,408.1239990708127,802.0093853847357,1172.1544482075842,713.9463736915786,1090.593260253081,2295.1573391561396,309.2852783469425
1874,271.674668083142,434.5858427394887,1458.945570520882,329.95560496624404,142.0869908099121,869.5816186984302,299.66217665710246,182.2167030485133,527.3463574823836,449.88672286945075,722.4919242791202,1272.0217304478865,964.0880947103142,1055.2539327240083,2242.1656019054353,186.50867322103295
1875,436.39080091879805,280.90677444536,977.8793117031455,350.98919997944904,117.68539982285802,794.3837553794765,326.5886286730165,183.05063264745058,769.6732629749022,571.735927786176,466.15712021666695,1597.1262500679586,911.3612547130288,973.115749747376,1916.8958473135717,663.5965381798883
1876,426.4786956322496,470.33816814100646,946.7664702260663,439.81356884869456,102.13611504623259,670.0447713563335,367.98314859827315,312.32710454532935,648.8170709929818,585.6821672923616,431.9997739097275,1305.1072808797471,855.4624642394629,950.365344632155,1934.5261901820777,269.99969869693814
1877,307.29536068520247,239.9204093492699,1186.7180531902704,722.2217435180028,140.01925888876485,667.1097472195413,269.5200689216563,208.65957474984498,520.7746385625796,500.7305219232876,584.6199500854709,1171.5953684819397,1350.4630184004782,1287.7117805011949,1453.9652962004766,394.94259032580885
1878,377.5123137354967,349.6795605906585,1006.3995315082138,367.9586321104125,253.44145588605898,967.6266933945044,208.23391899502894,345.9834486474392,762.6444176086807,819.4558027997118,516.733287543957,1315.4041305184364,1142.7798102607994,1088.1449712898757,1820.7084876077715,924.1667715890799
1879,516.9741548354068,345.14688397697455,782.495234439557,509.0760024496518,91.60350315432879,888.4835300831583,247.88197180077987,164.3326172651996,654.080944119778,465.2691326411514,530.7362236440326,1368.0019592080498,852.1264383572998,1097.2827610574313,1857.6638616796117,672.0438188898697
1880,367.7622505565523,436.4906680624472,848.6017906281631,460.43701776206944,382.0061634175545,690.3968613645702,338.79282291982236,260.49453161560905,648.5234569328895,536.7602372687543,488.27577960119015,1658.322536177002,858.41580663473,1373.5168039274868,1846.0049171655555,534.8783532563175
1881,397.68002752389293,396.21272650533683,818.0859043168311,521.0206505974384,180.6874960989262,593.0233973020222,273.1719485376175,211.0738285891216,722.9136184885533,608.7134181332658,679.3790252006147,1660.5769618763588,1099.9903805321082,1056.0930829581594,2054.557004047092,495.3036637758501
1882,304.94611761205306,346.8673545586171,1130.126995423052,318.68033400483,94.97724309221667,975.2463969685778,183.51890441699652,276.01897743275003,1015.8307000749119,383.89633292899816,557.3045697918133,1247.9199364199303,962.5675500890793,768.4158782227314,1541.686462679354,874.3002609726318
1883,282.04823617652437,338.85243092613564,1259.7726730629802,457.86157710972475,91.84296156163327,1133.7716374662705,364.77056198809805,146.161560244866,669.2832839431503,548.4224859437745,383.8987357488804,1464.9923008633777,893.4969671521685,1062.105611921288,1684.6123154391535,586.8062171948623
1884,311.01982343311647,386.3747348395009,847.6343859525514,359.39632399968104,104.1798594197644,664.8903642548248,190.6170910245237,539.1430391710401,635.3928653781622,443.860623427463,489.963229235218,1140.345292261918,1126.8828489774023,1121.3156824996986,1297.180382537772,325.63988131332735
1885,351.60953030208475,224.2002887734543,850.4285913186322,419.2642636437124,111.45142393861533,981.2851998216502,463.17048015280307,306.27186938403884,524.6757710481234,585.0374101573834,593.2019952539122,1217.5788552034646,877.512080266024,1409.4554393079306,1633.3237144208397,891.073652146406
1886,360.3001718704945,349.4766027873993,1406.0951987557928,493.3164759895627,420.1158731520991,600.1592273350525,357.1166518606333,217.06819180026287,690.1613680378432,504.3193993775276,587.8378403634997,1456.3081733474974,1177.39811802021,1116.5810391510604,2051.7377305106493,456.2295611616264
1887,418.3563848149788,606.4141801575488,1114.6558635140536,608.2695291102937,131.1593379061378,535.0756260966591,443.10371238116204,196.96928488720005,654.9631012450845,453.1261629075743,436.6791260644384,1340.797423706681,997.9191380276461,1187.3694263922516,2054.8891153768636,494.3559166842533
1888,501.921491856956,298.19033365455425,994.67356652749,369.0435951058176,134.16892718337294,832.8202778965533,138.6603174640186,182.3701103364101,570.9484414147937,367.26650497830633,418.8157946096908,1457.8284490766237,702.1345610621211,929.1281635247287,2421.4512311154976,501.411343638938
1889,391.8129965693879,343.02166014599607,1145.6732215359807,325.8235794290158,292.8372330424281,932.1447827504016,390.39622984972766,352.49386540804153,432.5492034939117,539.0557607424853,527.8614520284464,1278.0196538718883,787.6288815969019,1342.1585853619035,2079.19656013255,381.07914601496304
1890,401.2462549213524,482.0028918922699,1045.6105102202855,291.87969111080747,54.31698866686929,616.4756154961651,328.0130113224004,96.86272412733956,827.2482843683974,488.832652007477,423.5458955135982,1385.50229985849,992.9555696129682,911.8682023807196,1925.7735333783785,464.63436451649613
1891,357.5704211190896,365.93579405903256,1362.5830806529848,490.5391568416235,138.97522772385855,592.6746444827586,313.34600526188296,107.35916261692182,538.6073353009124,363.7124149900046,480.68114642228466,1242.0664276345633,840.7123837532708,1126.2859238784586,2070.8716354623903,630.2638846505943
1892,365.67508588559576,616.8176410719752,1266.4027185119267,597.609345715,349.8883650944663,763.5261263435041,265.6096976421395,247.34513069874993,784.5737527091842,487.26187729917,377.25297271390446,1551.6790128109278,915.359655838256,1276.860092638526,1672.019124875078,288.37619983640934
1893,307.8786444970319,580.826912874636,1439.1215891519096,556.3128576231975,240.37374254330643,1010.2714431297954,212.1958637324724,208.41328833984605,695.8400594550767,550.5005843144318,739.3942570929539,1493.633505870821,1008.7687070597894,1018.5377645218978,2061.126060792594,387.831296794684
1894,369.3797995161731,508.27192916044623,821.013961954668,534.0002621062922,153.84894465423713,930.9475889319401,449.94800550757645,414.25613809014976,732.7069822806152,659.3525231848616,521.800071787645,1497.8051985475759,732.2314493860176,828.372850298183,1932.8547400975367,679.3458305852255
1895,372.32248095324394,524.5373342463381,1040.3210715623572,512.8135517247301,176.16680819851354,650.0367988896244,255.9990917037794,165.97352581175073,546.5289860071152,356.92623572977027,628.6780866381378,1365.0291641999502,1428.4140560239691,907.9410855602873,1997.1884390164632,1061.2901292034167
1896,474.8556866150466,292.14355114461057,991.1038140060555,559.2177692640689,242.68037905285382,851.3479830826071,157.04816811855835,165.7836779524743,647.1313703130363,231.05471347580533,512.4651397416098,1288.7650298886,1238.6724934229278,1292.5776899443008,1686.8028212164063,828.1435447461263
1897,247.06508056096936,230.7595959527589,1073.1870986192007,318.9867353212321,106.75584204072948,1327.43324881867,172.10287726957176,232.86405015608125,685.679263604834,607.122776772303,613.1861828702313,1460.822664850275,942.5038825182128,1064.7680762631353,2608.6571267223917,432.1762789670174
1898,409.3501434123027,313.48336599336335,1226.0348719617468,539.8362719555735,267.28737843568524,883.5055654722964,274.4933276615484,363.6190839013807,742.8939755424835,554.8003690930273,423.18353029040736,1456.6975805122638,649.5077385443437,1421.9076394307194,1941.3722996832803,444.95638254784353
1899,420.54147330272826,342.6452769338084,841.8975576205412,489.56358834620914,275.0141575510497,1127.9088194494761,231.9058421903719,219.12166116030676,1213.6574122152524,426.3172827199014,538.0564364126258,1291.5881995169912,1022.0510024049872,1212.8226176428143,2153.249992497149,852.6789659772703
1900,449.2734901345102,227.2073068876282,891.3728848065603,443.17028390360485,147.34888040557053,940.324220337061,245.66007049893415,199.8362350723646,666.8805984823848,350.0910457922146,528.4518133899837,1228.0373958012206,767.8398959047627,1185.3408761933679,1745.2422147151083,428.70206615934876
1901,313.35611566901207,394.8638148968257,1217.7775041752966,631.7785831153742,127.82709540776978,709.9246280729858,287.7101220779309,349.91378167610884,577.1756929520052,577.6843112721508,663.9907558264724,1314.0228185453452,1173.195757616486,1129.6807872829959,1599.9395739723695,480.4640546109795
1902,450.59358479920775,456.1243280973031,881.5827200567583,448.2242536143531,191.6995007125479,1195.747657374045,219.38025420877239,351.86161551308146,798.4824802682851,468.9650232659915,593.2770490871917,1514.503154164413,889.5255255352822,1303.2603024272248,2103.6367804423207,756.658342271453
1903,365.8821188366346,293.7280158882853,957.9763512359932,381.3293696295713,86.05122703756933,1059.9722643062705,218.2600666983035,255.55778206933724,710.2422083762121,361.49398101260886,541.7954078358889,1405.4133319412358,1010.0842597610608,867.1064091904555,1771.5742046653759,569.1653838948696
1904,367.26025715106516,271.8121566651462,852.2695739928167,416.0286804407434,248.34807231443392,963.173232049985,188.90192130793366,223.3947779215015,703.0979510645949,512.0777840369556,585.3163831514394,1494.7047750174534,1031.3865233278193,1171.6571642398776,2037.655996531248,488.90150006949966
1905,287.00473310445886,251.42010065310387,864.651134660744,402.25393440908306,154.8085384290971,649.3691265188318,283.89411957759876,363.74649393904974,1155.7996129675303,315.45367613371127,703.3036300650565,1361.3513106072787,737.8944035721361,1213.2527498164563,1710.3953821730101,723.0410874271001
1906,545.300024905373,327.29010158500387,1237.8990148214143,587.9502451818553,265.9251040435265,575.345474558884,265.07837996648504,179.08001222522216,564.6381226665653,371.4435030535242,466.3830681878608,1396.3270054024179,863.9657564492154,882.1857672126498,2419.751173700206,617.8531815639872
1907,398.48469844000647,256.35538559608904,856.7190255580499,457.9312009628116,191.56178307130176,728.7180439008807,210.40833218612534,245.92801934074942,472.43134304478644,544.2730285792095,469.94905206483963,1249.023908819072,1055.2037428700714,1053.2575954706772,1547.9989888292039,178.79602604843967
1908,502.73384552401694,585.1899772855177,783.6383669495262,579.1267677170254,95.0439011199478,602.2350396648108,293.4981160276038,175.09447328588408,718.4818943596838,588.044002904644,407.73941412871864,1408.2357819308527,919.4467072513362,1013.7945683905855,2083.690021178336,774.1629473217472
1909,380.22915798246686,506.98578345418355,1393.7585468811449,358.49980676866835,99.00552414271715,736.0869012673788,248.01040918464423,284.0196230563379,355.51291682944566,640.4446812508468,524.4861775736354,1236.2306044553407,779.2460854219826,1309.2009080923162,1772.3185088660102,717.1312983373355
1910,487.8702389614773,210.0979048193949,1077.0076715729374,415.8423445902372,189.58109178538507,795.0509046189836,575.5892664082353,113.41746582529595,674.8955253624445,455.6996133997927,486.38230863980425,1252.510893746512,1073.1276953527413,1153.6564322799677,1574.7026924800593,545.9194188658785
1911,268.34832646200084,444.39218892403005,1109.5374674652703,486.40948799384205,153.45464842193905,720.5793360121334,176.2809447465088,179.03756477929278,647.5289793255797,679.6747343440074,438.6430680305807,1425.5134919774719,992.48370200512,1234.2637461115373,1838.619993278553,486.999583515626
1912,486.67646251124097,454.61870047728326,1205.895846972271,463.4782298965206,141.30668880716257,883.4766431221624,190.43237658015642,127.78999722731896,702.1598546794849,405.2058851417314,499.261573525564,1395.683882193407,844.8323141048604,1165.5466649870505,1852.0065320190042,345.0664474194127
1913,216.5299820877408,370.1084057921321,881.5302324743243,311.65983464817197,151.34176209912766,1005.4085467971163,198.79580299539157,505.8903474816475,362.3802473593969,336.26574079426064,614.750016326434,1151.3893814699259,787.7702980222239,928.384664026089,2044.5853299228474,517.9455131728901
1914,457.6388931891415,526.266909845981,813.2109034719178,424.5604212413582,80.31763818999025,759.7255141583446,214.74183107475255,212.59676818663138,692.2564649425112,555.0762918290275,377.4772350360763,1343.7017258489504,968.9972792009528,1040.5314920186356,1882.2623180458322,381.00754036568105
1915,371.74821309381514,338.56118017229164,1334.269675979158,425.2262400186737,146.02055478399052,887.123549527314,155.349393241886,275.559290544183,629.643024190591,455.65401067087805,358.0072323566128,1195.7023742725141,907.2706386967184,1057.7296071918681,1837.5844199792482,739.8538489018392
1916,392.8068706944032,373.1661883454699,992.0564343599835,491.1583914596122,122.28697248929166,659.8818558210041,310.108894959626,240.78809160719175,519.5989612745507,514.0484741792534,580.9875679213292,1109.872028772952,827.6757433763123,1089.4713022280484,1412.4017099733464,509.87385542655375
1917,280.1007870642934,445.7681443104718,972.4372480181046,398.1535696886567,116.40944206287713,1092.8610186349033,168.1977253504101,196.58156915693326,749.5323694922263,467.2247449666429,528.730608955766,1480.8250436733942,918.0882850836497,946.5086250696913,1640.0145980820525,480.0201255728098
1918,493.9229497100314,344.7910967102416,1093.828956640209,412.2700726449011,134.56903677649734,1167.9290309955832,231.0526225634021,293.5612579432359,600.5868609521713,616.859682930226,705.7324008485726,1320.4485530761303,1127.2216336248675,1042.716844988172,1991.4958439127076,617.0997217202739
1919,467.55840293189976,332.8367893158429,966.2904954198893,521.916011688154,117.4813700185041,734.9810859268473,348.1233073534895,357.9236518422249,513.6776956780523,483.5693732267828,540.0030298340425,1535.3841296571773,771.1505795381527,1022.7352222391346,1947.3990082653472,370.29399593429844
1920,354.1330123134685,360.2168044555583,1037.4985109316185,512.5359375678897,444.0236760856351,833.181345258879,248.44196317503702,150.7560183640635,817.155531346998,801.3160025105208,608.2518976312713,1392.9583811725024,762.7522093287553,1243.5707076793733,1820.5488786741626,476.8793606875988
1921,520.8303570347198,450.60915697968085,1313.0961808405118,446.7366177700569,283.63562332415313,1071.2570092699025,286.3347575068474,219.65601530800143,682.4970014182327,650.4818715242436,490.5149722138958,1536.893280374352,999.312576794182,1112.606070239417,2031.2397079076618,540.0614662332373
1922,348.55143201548344,597.5960284674329,1526.227345704683,487.2155862838099,137.3584243345249,1325.3686915329126,350.6141100253444,151.44942349508597,770.6365224257297,632.2896360386949,627.1141158149021,1334.889018262038,835.4165176162496,1021.8316304788459,2113.92453747103,482.9185547178355
1923,294.0710995993868,552.4495754283635,877.9448221321218,632.5932348743663,69.158521321242,1075.4373902558655,330.613892138922,228.66872558756768,854.0946157605504,648.893407187461,782.3753159235821,1362.1343989216257,978.8935671182116,1152.2124519338831,1667.9111784382258,743.6237663775046
1924,357.187281917777,595.1126814774227,1079.6482664751238,475.33617775734456,154.62496204909257,830.0641829773667,270.9535921138013,507.3148524932355,991.8543651247319,473.0984520972015,413.4096257717829,1547.8705377870938,1002.0774820259248,1060.3641398367472,1850.381934834877,719.6614454007431
1925,316.19421467839857,447.3280237565632,982.4725266822497,485.1002187388076,177.0131288581979,1094.894745844249,281.5788988409622,127.32076443185179,663.9530441070548,347.4001650010905,705.3388854066725,1588.178000820335,865.8785983760026,881.5514927788172,2347.325512144016,385.9764871529478
