years,model_0,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8,model_9,model_10,model_11,model_12,model_13,model_14,model_15
2068,0.227458823,-0.066380694,0.054910413,-1.64475425,1.661914514,-1.048329462,0.780813437,0.345933747,0.690595519,-0.252706743,0.249556049,1.955272439,1.059057561,2.40943714,-0.309836833,-1.584097103
2069,2.224512895,1.985831486,2.044355467,-0.363475038,-1.180933607,-0.859501962,-0.060500236,-2.858531964,0.514757344,-0.599013953,1.223557294,0.777484653,-0.449591707,2.572295095,0.403251004,-2.152133286
2070,-0.475811387,1.936874271,3.501716856,1.135081972,0.746337352,-0.493008783,0.713860784,1.000812124,1.885806979,0.268173856,-0.336751278,0.638009785,2.417312025,0.919728759,1.632820715,-0.374468531
2071,0.243677399,1.518028029,-0.384635206,-1.324129769,0.015628446,-0.354113699,-0.311803979,1.092874871,-0.34526817,-0.632887814,-1.596820122,3.242737449,-0.995521211,1.12014259,0.89058464,0.297385174
2072,0.770007068,3.055846454,-0.666114493,-0.578149607,1.265037943,-1.090869325,-1.555752875,1.218852824,-0.565129047,0.264227168,-0.037748766,3.093619644,1.618390114,1.814959624,-0.611949317,-1.036461845
2073,-1.623207271,2.357110687,0.774096758,-0.431601131,1.327390674,0.745329576,0.585142375,2.018329388,-0.594950324,-1.832760016,0.505428708,-0.230412458,0.538129422,1.938216565,0.371445696,0.581385075
2074,0.162380364,2.660955457,0.530022763,0.185744925,1.218287608,-0.098751261,0.974739605,0.797998824,-0.400585337,-2.041635977,0.825322944,2.286679354,3.401893056,1.61958612,2.666364089,0.065921379
2075,0.768788477,3.570158638,-0.045891969,-0.03413268,2.074431716,0.15396429,-0.147670054,-0.633585263,0.62614002,-1.537357759,-0.918478993,-0.628049129,0.976951313,1.49481017,0.380709927,-1.082875123
2076,0.835570184,2.393970856,-0.103646902,-0.469074807,0.449864896,-0.923609729,-0.021412384,0.387587108,2.648513281,-0.469893499,-2.737114871,0.541167683,2.381538528,-0.358716364,-1.272584401,-0.977127898
2077,-0.132448414,1.63705323,0.918673392,-0.554097135,-0.176269412,0.075704754,1.592717656,2.303035941,-1.2777099,0.504665452,-0.079916608,-0.67930334,-0.075487071,0.805407043,-0.143835821,-0.698476874
2078,-0.239741257,2.655427915,2.582654401,-1.253295123,-0.065613806,-0.65338627,-0.296258608,-2.388892242,1.437242014,-1.985144186,-1.099088446,-0.448868661,0.974242967,1.338962945,-0.493278043,-0.060773232
2079,0.999063766,2.343575792,0.993036693,0.05945796,0.320920583,-0.133131858,0.864272256,-0.335667783,-0.289764687,-1.054878108,0.54137304,0.21590465,1.420383573,2.775619834,0.068519093,-1.293819926
2080,0.719922296,0.571673203,-0.319942586,-0.075532871,0.101736206,0.186585272,1.20986862,1.787346744,-1.20013393,0.891669255,-0.038852826,-1.28257368,-2.354202805,1.341924724,-1.511756637,1.265072176
2081,0.916703903,2.53046611,0.213958392,-1.219982222,0.926214679,-0.734292713,0.165716991,-0.267221699,2.46178319,-1.239360844,0.195108884,-0.581251883,0.684130167,2.379836809,4.428953279,0.95310873
2082,-0.524882859,1.70664781,2.321174738,-0.337653509,1.218582645,0.193544101,0.298630674,0.261987086,0.449279475,-0.094883459,-0.923777146,-0.59106972,1.744248228,3.25035058,-1.483080131,-1.508236805
2083,1.416930669,1.782678855,-0.337194217,0.089690053,2.549704441,0.181251045,-0.926536264,0.659447719,0.182504172,-1.02717232,-0.694185101,-0.145721693,0.553477002,3.683795869,-1.731321737,-0.507741894
2084,2.390465219,1.601323125,0.077935358,0.588711232,0.937707077,0.61924169,-0.313542783,1.116116597,1.366755227,-0.89406391,-1.408565328,0.45360915,-0.366447083,3.472913655,0.000139033,1.47598564
2085,-0.588330875,1.527835172,0.7401683,-0.668232166,-0.267475308,1.090638045,0.054373752,-1.667596441,-1.736036756,-0.266100716,-1.029727341,0.907693077,-0.30116971,2.76159528,-0.860809943,0.503697574
2086,0.498087593,1.918789216,1.865187284,0.592084361,0.299607501,-0.257449025,-0.687197522,3.038547661,-0.735512709,-2.265880635,0.850830413,-0.45537683,1.744400518,3.131379947,0.628992497,-2.488355517
2087,1.616544872,2.189120539,0.203075582,-0.36291485,1.491298938,-0.919849435,-0.116784902,2.085332211,2.055617716,-0.220059635,1.303258725,0.883444323,1.335873544,2.607109234,2.043895545,-2.875588935
2088,1.020370806,0.578698332,0.270490135,-1.476390536,1.306085845,0.260032866,-0.501770349,1.849701928,0.30132783,-0.355451003,-1.217205068,2.75324657,0.589345148,2.966651738,-2.285970263,-0.556648328
2089,0.376008096,2.393985689,-0.449946382,0.23236729,1.323634381,-2.033004177,0.680711245,1.215389049,-0.105847128,-1.700179434,-0.433275362,1.746202802,-0.007859001,1.905607324,-1.484092372,-0.719178463
